,timestamp,face_id,video,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
100,1.624,0,97,-0.303,0.284,0.292,0.396,-0.12300000000000001,0.0,0.0,0.03,0.0,0.0,0.0,0.18,0.24,0.0,0.0,1.34,2.26,0.0,0.21,0.0,1.86,0.0
101,1.714,0,97,-0.29,0.28800000000000003,0.303,0.361,-0.106,0.0,0.0,0.5,0.11,0.0,0.0,0.13,0.06,0.0,0.0,1.33,1.85,0.35,0.37,0.0,1.04,0.0
102,1.805,0,97,-0.281,0.28300000000000003,0.287,0.342,-0.09699999999999999,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.61,0.73,0.28,0.0,1.02,0.0
103,1.895,0,97,-0.272,0.297,0.308,0.32799999999999996,-0.106,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.54,1.07,0.27,0.0,0.86,0.0
104,1.985,0,97,-0.251,0.307,0.32799999999999996,0.29600000000000004,-0.107,0.0,0.0,0.5,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.02,1.55,0.0,0.26,1.17,0.0
105,2.075,0,97,-0.249,0.307,0.326,0.295,-0.109,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.37,0.12,0.3,0.74,0.0
106,2.165,0,97,-0.243,0.29,0.292,0.29100000000000004,-0.11,0.0,0.0,0.79,0.07,0.0,0.0,0.0,0.0,0.0,0.43,0.85,1.07,1.56,0.32,0.32,0.59,0.0
107,2.256,0,97,-0.247,0.309,0.322,0.297,-0.113,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.23,1.25,0.12,0.18,1.19,0.0
108,2.346,0,97,-0.248,0.321,0.332,0.3,-0.109,0.0,0.0,0.57,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.99,1.61,0.35,0.33,0.94,0.0
109,0.0,0,83,0.379,0.25,0.294,-0.445,0.11800000000000001,0.15,0.12,0.71,0.22,0.59,0.0,0.26,1.13,0.18,0.28,0.02,0.23,0.17,0.04,0.89,0.08,0.0
110,0.1,0,83,0.37799999999999995,0.254,0.29600000000000004,-0.444,0.12,0.0,0.12,1.01,0.0,0.8,0.0,0.37,1.33,0.05,0.18,0.0,0.23,0.81,0.0,1.01,0.42,0.0
111,0.2,0,83,0.37799999999999995,0.26,0.304,-0.441,0.12300000000000001,0.0,0.18,0.62,0.0,0.52,0.0,0.3,0.94,0.15,0.08,0.0,0.25,0.56,0.06,0.82,0.0,0.0
112,0.3,0,83,0.38299999999999995,0.262,0.301,-0.44799999999999995,0.125,0.48,0.89,0.0,0.55,0.58,0.19,0.02,1.12,0.4,0.31,0.0,0.44,0.27,0.2,0.98,0.0,0.0
