,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,face_id,video
107,0.159107,0.195759,-0.967659,-0.164581,0.140528,-0.976302,-0.003,0.171,-7.4,-4.3,233.9,-0.064,0.086,0.095,0.0,0.0,0.16,0.0,2.32,2.7,1.86,2.7,1.26,0.33,0.0,0.0,1.39,0.0,4.44,1.41,0.2,0,633
108,0.137163,0.173994,-0.975147,-0.173241,0.139879,-0.9748959999999999,-0.018000000000000002,0.16,-6.3,-3.1,233.4,-0.07,0.094,0.081,0.0,0.0,0.0,0.0,2.13,2.44,1.47,2.49,1.49,0.0,0.0,0.0,0.44,0.0,3.55,1.22,0.49,0,633
109,0.082302,0.126838,-0.988503,-0.204442,0.12226400000000001,-0.9712129999999999,-0.062,0.126,-8.0,-3.2,231.5,-0.134,0.096,0.061,0.0,0.0,0.0,0.0,1.16,2.41,0.75,0.51,0.93,0.0,0.0,0.0,1.29,0.18,2.17,1.23,0.98,0,633
110,0.030836000000000002,0.13375,-0.990535,-0.239972,0.125722,-0.9626040000000001,-0.107,0.132,-11.7,1.0,234.9,-0.10099999999999999,0.132,0.061,0.0,0.0,0.0,0.0,0.4,1.31,0.3,0.0,0.01,0.0,0.0,0.17,1.75,0.08,1.11,0.88,0.81,0,633
111,0.030505,0.106886,-0.9938030000000001,-0.220135,0.168197,-0.960859,-0.09699999999999999,0.14,-11.6,5.2,238.5,-0.073,0.121,0.045,0.0,0.0,0.81,0.0,0.14,1.07,0.35,0.13,0.0,0.0,0.09,0.58,1.59,0.0,0.59,1.1,0.22,0,633
112,0.10009900000000001,0.05624199999999999,-0.9933870000000001,-0.183365,0.080381,-0.9797530000000001,-0.042,0.069,-6.7,11.3,240.8,-0.042,0.067,0.022000000000000002,0.0,0.0,0.7,0.0,0.0,1.27,0.42,0.67,0.0,0.0,0.0,0.73,1.55,0.0,1.03,1.42,0.0,0,633
113,0.10897799999999999,0.07813400000000001,-0.9909690000000001,-0.180456,0.11569000000000002,-0.9767549999999999,-0.036000000000000004,0.098,-0.9,15.3,241.6,0.008,0.054000000000000006,-0.03,0.0,0.0,0.79,0.0,0.0,1.02,0.67,0.76,0.0,0.0,0.46,0.33,1.92,0.0,1.15,1.69,0.0,0,633
114,0.10384700000000001,0.088907,-0.990612,-0.180257,0.13062100000000001,-0.974908,-0.039,0.111,-0.2,17.4,241.5,0.03,0.065,-0.077,0.0,0.0,0.75,0.0,0.0,0.67,0.67,0.68,0.0,0.0,0.51,0.31,2.04,0.0,0.99,0.98,0.0,0,633
115,0.024387,0.165211,-0.985957,-0.309546,0.194867,-0.9307030000000001,-0.14800000000000002,0.18600000000000003,-0.9,18.8,244.2,0.034,0.083,-0.10300000000000001,0.0,0.0,0.62,0.0,0.0,0.76,0.27,0.64,0.0,0.0,0.39,0.04,1.52,0.0,0.89,1.01,0.0,0,633
116,0.09632,0.081302,-0.992024,-0.186711,0.128663,-0.9739530000000001,-0.046,0.106,-1.2,19.4,242.5,0.03,0.08900000000000001,-0.12300000000000001,0.0,0.0,0.42,0.0,0.0,0.33,0.3,0.65,0.0,0.0,0.37,0.28,1.61,0.0,0.61,0.74,0.0,0,633
117,0.094039,0.067716,-0.9932629999999999,-0.191157,0.114977,-0.9748020000000001,-0.049,0.09300000000000001,-0.8,18.7,242.3,0.015,0.096,-0.135,0.0,0.0,0.58,0.0,0.0,0.29,0.34,0.69,0.0,0.0,0.17,0.29,1.61,0.0,0.41,0.73,0.0,0,633
118,0.08866399999999999,0.063649,-0.9940260000000001,-0.19652999999999998,0.10864000000000001,-0.97446,-0.055,0.087,-1.3,17.9,242.7,0.006999999999999999,0.105,-0.142,0.0,0.0,0.39,0.0,0.0,0.98,0.61,0.43,0.0,0.0,0.09,0.05,1.78,0.0,0.2,0.48,0.0,0,633
119,0.09034099999999999,0.063921,-0.993857,-0.197345,0.10820199999999999,-0.9743450000000001,-0.054000000000000006,0.087,-1.3,17.7,242.2,0.006,0.107,-0.14,0.0,0.0,0.55,0.0,0.0,0.9,0.6,0.57,0.0,0.0,0.08,0.15,1.38,0.0,0.12,0.21,0.0,0,633
120,0.08605,0.060991,-0.9944219999999999,-0.20036800000000002,0.10441900000000001,-0.97414,-0.057999999999999996,0.084,-1.9,17.6,242.1,0.002,0.115,-0.138,0.0,0.0,0.64,0.0,0.0,1.11,0.72,0.66,0.0,0.0,0.12,0.47,1.1,0.0,0.0,0.21,0.0,0,633
121,0.035854000000000004,0.156246,-0.987067,-0.27555599999999997,0.20564699999999997,-0.9390299999999999,-0.124,0.18600000000000003,-2.2,19.2,243.5,0.013000000000000001,0.124,-0.141,0.0,0.0,1.01,0.0,0.0,0.6,0.65,0.49,0.0,0.07,0.28,0.31,1.24,0.0,0.06,0.96,0.0,0,633
122,0.245574,0.144217,-0.9585899999999999,0.063748,0.16145199999999998,-0.984819,0.158,0.156,-41.0,-66.1,605.6,0.081,-0.161,-0.067,0.0,0.44,0.19,0.21,1.58,0.09,0.83,1.87,1.89,0.9,0.09,0.0,0.76,0.18,2.26,1.74,0.06,0,627
125,0.382468,0.24118499999999998,-0.891935,0.207813,0.252188,-0.945101,0.311,0.262,0.1,-53.8,602.5,0.226,-0.40700000000000003,-0.05,0.0,0.0,0.0,1.19,1.9,1.39,1.12,3.02,1.61,2.65,0.01,0.0,1.75,0.0,1.74,1.24,0.0,0,627
126,0.372977,0.25045300000000004,-0.8933989999999999,0.18445699999999998,0.260428,-0.947709,0.294,0.271,1.8,-53.0,607.4,0.243,-0.384,-0.06,0.0,0.0,0.0,0.38,2.49,1.34,1.38,3.16,2.17,2.86,0.0,0.0,1.27,0.0,1.7,0.0,0.0,0,627
127,0.369613,0.246961,-0.895766,0.17635,0.258747,-0.9497110000000001,0.28800000000000003,0.267,1.6,-52.3,609.9,0.242,-0.374,-0.069,0.0,0.0,0.0,0.41,2.64,1.44,1.28,3.12,2.05,2.59,0.0,0.0,0.97,0.0,1.62,0.0,0.0,0,627
128,0.36782,0.246529,-0.8966219999999999,0.173949,0.258276,-0.950282,0.285,0.267,0.7,-51.9,610.4,0.243,-0.37,-0.071,0.0,0.0,0.0,0.0,2.33,1.45,1.4,3.29,2.27,2.52,0.0,0.0,0.58,0.0,1.58,0.19,0.0,0,627
129,0.365816,0.242457,-0.898551,0.16910899999999998,0.254669,-0.9521270000000001,0.281,0.262,-0.2,-53.1,613.4,0.23399999999999999,-0.363,-0.07,0.0,0.0,0.0,0.29,2.7,2.05,1.57,3.11,2.21,2.6,0.0,0.0,0.9,0.0,1.49,0.09,0.0,0,627
130,0.351077,0.22025300000000003,-0.9100729999999999,0.14718499999999998,0.23881100000000002,-0.9598469999999999,0.26,0.24100000000000002,-7.0,-62.0,628.0,0.177,-0.322,-0.087,0.0,0.0,0.0,0.0,2.88,1.3,1.33,3.27,2.56,2.51,0.0,0.0,0.09,0.0,1.51,0.0,0.45,0,627
135,0.015931,-0.017847,-0.999714,-0.17468399999999998,-0.027904,-0.9842290000000001,-0.08,-0.023,205.6,65.9,557.2,-0.07,-0.026000000000000002,0.052000000000000005,1.21,0.07,0.0,1.96,0.57,0.0,0.0,1.19,1.78,0.83,0.0,0.0,0.56,0.0,0.23,0.34,0.66,0,141
142,0.00807,-0.002509,-0.999964,-0.141941,-0.001523,-0.989874,-0.067,-0.002,96.3,-183.9,961.3,-0.135,0.075,0.001,0.35,0.0,0.0,0.0,1.07,1.16,0.06,0.09,0.91,0.0,0.0,0.0,0.0,0.0,0.71,0.57,0.0,0,97
143,-0.029762,-0.020768000000000002,-0.999341,-0.16842000000000001,-0.019197,-0.9855280000000001,-0.1,-0.02,87.9,-182.2,970.6,-0.16399999999999998,0.124,-0.016,0.42,0.0,0.2,0.0,1.04,0.72,0.29,0.0,0.67,0.0,0.09,0.0,0.0,0.37,0.1,0.91,0.15,0,97
144,-0.064141,-0.035305,-0.997316,-0.20136500000000002,-0.032237,-0.978986,-0.134,-0.034,77.7,-178.7,963.3,-0.177,0.174,-0.026000000000000002,0.0,0.0,0.0,0.0,0.92,0.31,0.23,0.0,0.47,0.0,0.01,0.0,0.0,0.46,0.0,0.32,0.37,0,97
145,-0.082618,-0.019906999999999998,-0.996382,-0.219617,-0.016557,-0.9754459999999999,-0.152,-0.018000000000000002,67.2,-176.6,965.1,-0.153,0.20600000000000002,-0.035,0.19,0.0,0.15,0.0,1.04,1.07,0.37,0.0,0.61,0.0,0.0,0.0,0.0,0.63,0.0,0.92,0.32,0,97
151,-0.027791000000000003,0.029192000000000003,-0.999187,-0.183532,0.035886,-0.982358,-0.106,0.033,-21.5,-170.3,949.5,-0.087,0.179,-0.026000000000000002,0.28,0.0,0.09,0.0,1.45,1.22,0.67,0.0,1.05,0.0,0.0,0.0,0.18,0.0,1.0,1.15,0.0,1,97
153,-0.042452,0.024973,-0.9987860000000001,-0.203494,0.031985,-0.978554,-0.124,0.028999999999999998,-31.3,-167.5,919.2,-0.095,0.21600000000000003,-0.040999999999999995,0.1,0.0,0.03,0.0,1.6,1.74,0.86,0.0,1.15,0.49,0.0,0.0,0.0,0.08,1.18,0.0,0.0,1,97
156,-0.157154,0.027805,-0.987183,-0.30979,0.034207999999999995,-0.950189,-0.237,0.032,-51.5,-161.1,880.5,-0.11,0.38299999999999995,0.02,0.0,0.0,0.0,0.0,0.91,1.01,1.25,0.14,0.76,2.16,0.2,0.0,0.0,0.15,0.36,0.0,0.0,1,97
157,-0.08809600000000001,0.057726,-0.9944379999999999,-0.242742,0.062399,-0.968082,-0.16699999999999998,0.061,-58.6,-160.2,899.5,-0.063,0.289,-0.022000000000000002,0.21,0.0,0.0,0.0,1.09,1.98,1.21,0.35,0.76,2.02,0.93,0.0,0.0,0.48,0.97,0.19,0.0,1,97
158,-0.013452,0.042256,-0.999016,-0.164496,0.043151999999999996,-0.985433,-0.08900000000000001,0.043,-61.7,-159.6,914.3,-0.083,0.188,-0.013999999999999999,0.0,0.0,0.0,0.0,1.27,1.45,0.71,0.11,1.34,1.34,0.74,0.0,0.0,0.04,1.21,0.92,0.0,1,97
159,0.054377999999999996,0.028589999999999997,-0.9981110000000001,-0.108254,0.022285,-0.993873,-0.027000000000000003,0.026000000000000002,-53.7,-158.2,906.4,-0.10300000000000001,0.099,0.023,0.0,0.0,0.0,0.0,0.94,1.43,0.67,0.0,1.14,0.0,0.24,0.0,0.0,0.0,0.85,0.0,0.0,1,97
160,-0.016637,-0.00056,-0.9998610000000001,-0.161915,-0.01028,-0.986751,-0.09,-0.005,-44.6,-156.0,870.0,-0.14800000000000002,0.17800000000000002,0.084,0.0,0.0,0.69,0.79,0.51,1.25,0.19,0.0,0.92,0.07,0.45,0.23,0.0,0.14,0.3,0.25,0.0,1,97
171,-0.490296,0.16959000000000002,-0.8548969999999999,-0.611567,0.135829,-0.779446,-0.593,0.185,96.0,26.9,375.1,0.08900000000000001,0.772,0.237,0.0,0.0,0.12,0.64,0.83,0.05,0.0,0.3,0.06,0.0,0.04,0.0,0.0,0.0,0.71,2.69,0.0,0,83
175,-0.5031979999999999,0.11955,-0.8558620000000001,-0.643265,0.007912,-0.7656029999999999,-0.615,0.078,95.4,30.7,391.1,-0.040999999999999995,0.753,0.585,0.28,0.0,1.75,0.0,2.28,2.27,0.23,1.51,2.38,0.03,0.0,0.0,0.0,0.0,1.5,0.37,0.24,0,83
177,-0.490575,0.09946,-0.8657040000000001,-0.6316350000000001,-0.021495,-0.774968,-0.6,0.047,96.2,31.0,393.2,-0.079,0.722,0.6409999999999999,0.58,0.0,1.8,0.0,2.55,2.36,0.43,1.82,2.44,0.13,0.0,0.0,0.0,0.03,1.8,1.22,0.35,0,83
178,-0.487875,0.09274400000000001,-0.867973,-0.629037,-0.031239999999999997,-0.776748,-0.597,0.037000000000000005,96.9,30.9,394.8,-0.08800000000000001,0.7140000000000001,0.6579999999999999,0.5,0.0,1.58,0.0,2.79,1.79,0.6,1.94,2.55,0.32,0.0,0.0,0.0,0.16,1.9,1.69,0.42,0,83
191,-0.24525,0.288914,-0.925409,-0.433,0.246813,-0.8669459999999999,-0.36200000000000004,0.29,107.7,-25.9,580.1,0.315,0.449,0.03,1.02,0.0,0.3,0.0,1.3,0.0,0.0,0.95,1.94,0.15,0.04,0.0,0.62,0.0,0.38,0.0,0.0,0,431
192,-0.24831199999999998,0.28944200000000003,-0.924427,-0.432925,0.24630900000000003,-0.8671260000000001,-0.363,0.29100000000000004,107.3,-26.7,582.4,0.317,0.444,0.049,1.21,0.0,0.0,0.0,1.33,0.0,0.0,1.23,1.77,0.0,0.28,0.0,0.76,0.24,0.1,0.0,0.0,0,431
